Year,1,2,3,4,7,A,B,C,D
2000,7940,3625,1122,311,0,30,8,6,1
2001,1009,350,110,28,0,5,3,1,0
2002,811,307,95,24,0,4,0,0,0
2003,1344,573,191,63,0,2,0,5,1
2004,1313,619,217,77,1,12,11,2,2
2005,1052,485,122,38,0,4,5,2,0
2006,862,340,113,25,0,3,0,0,0
2007,1351,520,170,48,0,4,2,1,2
2008,1216,483,163,34,0,6,0,1,1
2009,1068,399,124,36,0,3,0,1,0
2010,883,294,99,32,0,5,0,0,0
2011,6475,2863,976,253,1,45,17,4,4
2012,2009,816,232,65,0,12,4,0,0
2013,1524,612,187,52,0,5,6,1,0
2014,1328,535,134,46,0,7,1,1,0
2015,1174,474,149,34,0,5,5,0,0
2016,4018,1776,601,159,2,18,5,6,2
2017,1324,519,142,32,0,4,4,0,0
2018,1379,544,178,67,1,7,2,1,0
2019,1015,391,118,31,0,6,0,2,1
2020,1138,412,119,38,0,6,1,0,0
2021,1584,605,181,44,0,4,5,0,1
2022,1282,475,156,36,0,7,6,1,1
2023,1338,516,148,33,0,5,2,0,1
