MaxIntensity,Distance,R,G,B
6.5,10.4,255,155.24138038228014,0
6.4,16.8,255,0,100.65229849520759
6.4,25.0,255,0,186.90412050154646
6.4,14.5,255,245.84911220937312,0
6.1,13.1,0,113.29722725499747,255
6.0,10.8,255,0,64.28299850247095
5.9,67.9,255,0,140.53050005293858
5.9,24.4,0,213.8855045816697,255
5.6,23.8,75.54277636565368,255,0
5.5,28.3,255,0,73.04147146175642
5.4,62.5,255,0,135.40451504739153
5.3,72.0,255,0,139.2473236504056
5.3,34.5,255,0,58.71569356345222
5.3,45.0,0,255,61.160747493839274
5.3,48.7,0,255,73.1121437298953
5.2,72.5,255,0,150.4502595977481
5.2,33.0,255,0,93.0324130260465
5.2,49.9,255,0,39.78209199508624
5.2,33.1,255,29.787892679106903,0
5.1,60.0,255,0,184.86822830649044
5.1,57.0,255,0,125.94517680758419
5.1,40.5,255,0,107.47535856128181
5.1,15.7,0,255,92.27044246970358
5.0,72.6,255,0,146.29440896525128
5.0,76.6,255,0,128.999424052619
5.0,62.3,179.6845919321692,0,255
5.0,43.3,255,0,201.3913435557687
5.0,49.3,0,255,67.1804965969823
4.9,77.2,255,0,148.79575230498182
4.9,55.9,255,0,147.2053193396479
4.9,50.2,255,0,200.02217632815763
4.9,38.1,255,0,232.92693030702253
4.9,32.5,255,31.04740416334425,0
4.9,81.3,255,68.4631617668401,0
4.8,80.4,255,0,193.29683720831986
4.8,65.8,255,0,242.40867968337926
4.8,59.4,255,0,175.76758620802056
4.8,44.1,255,0,249.28366190624595
4.7,61.8,255,0,127.4229132358605
4.7,49.6,255,0,147.64027449245492
4.7,55.3,255,48.77870333964304,0
4.6,77.9,255,0,146.07601244942447
4.6,48.4,255,0,70.83929102159792
4.6,119.0,255,187.95267685242572,0
4.6,75.6,255,4.394076679195376,0
4.5,71.2,255,0,121.03124711664994
4.5,52.0,255,0,252.28669496889438
4.5,88.4,255,80.3436753795995,0
4.5,55.4,255,42.81469455992707,0
